Branch,Name,Display Type,Dialogue Text,Locked In Dialogue,Variable To Set,Variable Value,Next Branch,Condition,Conditional Next Branch,R1 Text,R1 Is Impulsive Response,R1 Spawn Condition,R1 Variable To Set,R1 Variable Value,R1 Next Branch,R2 Text,R2 Is Impulsive Response,R2 Spawn Condition,R2 Variable To Set,R2 Variable Value,R2 Next Branch,R3 Text,R3 Is Impulsive Response,R3 Spawn Condition,R3 Variable To Set,R3 Variable Value,R3 Next Branch
C1a,,,Woah... where'd you get that.,FALSE,OLD_SPOKE_ABOUT_CLICKER,1,,,,STORAGE,FALSE,,,,C2,Wouldn't you like to know,FALSE,,,,C3,,FALSE,,,,
C2,,,You got to STORAGE? I didn't know it was possible...,FALSE,,,,,,What can I do with it?,FALSE,,C3R1,1,C4,I'm your god now,FALSE,,,,C4a,,FALSE,,,,
C3,,,There's no need to be rude kid... I just... didn't know that was possible.,FALSE,,,,,,What can I do with it?,FALSE,,C3R1,1,C4,I'm your god now,FALSE,,,,C4a,,FALSE,,,,
C4,,,,FALSE,,,C5,AT_004_RELAPSE,C6,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
C4a,,,I wouldn't go that far...,FALSE,,,,,,Sorry,FALSE,,,,C4,I got ahead of myself,FALSE,,,,C4,,FALSE,,,,
C5,,,I reckon you could bring it over to RELAPSE... should be enough to use the orbit over there.,FALSE,,,,,,I'll head over,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
C6,,,,FALSE,,,C7,C3R1,C6a,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
C6a,,,"Uh, duh kid, the orbit right over there?",FALSE,,,,,,Right,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
C7,,,I reckon you could use it on that orbit right over there.,FALSE,,,,,,Right,FALSE,,,,END,Didn't ask,FALSE,,,,END,,FALSE,,,,
C8,,,,FALSE,,,C10,AT_004_RELAPSE,C9,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
C9,,,Well?? What the hell are you waiting for? Go fly kid!,FALSE,,,,,,On it,FALSE,,,,END,What do you mean?,FALSE,,,,C11,,FALSE,,,,
C10,,,You really should take that over to RELAPSE.,FALSE,,,,,,Got it,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
C11,,,Go use that orbit! Just over to the right. Holding a node should let you fly.,FALSE,,,,,,On it,FALSE,,,,END,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
,,,,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,
